asset id,file name,description,url,type,downloads,earnings
FP-001,abstract-geometric-background,abstract geometric shapes colorful modern design background vector,https://www.freepik.com/fp-001,Vector,342,18.45
FP-002,business-team-meeting-flat,business people team meeting office flat illustration,https://www.freepik.com/fp-002,Vector,215,12.30
FP-003,food-icons-set-collection,food restaurant menu icons set collection flat design,https://www.freepik.com/fp-003,Vector,487,26.10
FP-004,mockup-smartphone-screen,smartphone screen mockup template psd presentation,https://www.freepik.com/fp-004,PSD,631,41.20
FP-005,floral-pattern-seamless,seamless floral pattern botanical flowers leaves background,https://www.freepik.com/fp-005,Vector,198,10.75
FP-006,infographic-timeline-template,infographic timeline template business presentation vector,https://www.freepik.com/fp-006,Vector,156,9.40
FP-007,social-media-post-template,social media post template instagram stories design,https://www.freepik.com/fp-007,PSD,823,54.60
FP-008,watercolor-flowers-bouquet,watercolor flowers bouquet botanical illustration clipart,https://www.freepik.com/fp-008,Vector,412,23.80
FP-009,logo-design-collection,minimal logo design collection brand identity template,https://www.freepik.com/fp-009,Vector,274,16.20
FP-010,3d-render-abstract-sphere,3d render abstract sphere geometric shapes composition,https://www.freepik.com/fp-010,PNG,145,9.80
FP-011,landing-page-ui-kit,landing page ui kit components web design template,https://www.freepik.com/fp-011,PSD,567,38.90
FP-012,nature-landscape-illustration,nature landscape mountain forest illustration flat design,https://www.freepik.com/fp-012,Vector,321,17.55
FP-013,christmas-greeting-card,christmas greeting card holiday design snow elements vector,https://www.freepik.com/fp-013,Vector,89,5.10
FP-014,business-card-mockup,business card mockup template psd presentation design,https://www.freepik.com/fp-014,PSD,445,30.25
FP-015,hand-drawn-doodle-elements,hand drawn doodle elements collection sketch illustration,https://www.freepik.com/fp-015,Vector,267,14.80
FP-016,dark-abstract-background,dark abstract background texture gradient design modern,https://www.freepik.com/fp-016,Vector,189,10.20
FP-017,ecommerce-app-ui-design,ecommerce app ui design mobile interface kit template,https://www.freepik.com/fp-017,PSD,712,47.30
FP-018,animal-character-set,cute animal character set collection cartoon flat design,https://www.freepik.com/fp-018,Vector,534,28.90
FP-019,tropical-leaves-pattern,tropical leaves pattern background jungle botanical design,https://www.freepik.com/fp-019,Vector,376,20.15
FP-020,mockup-tshirt-blank,blank tshirt mockup template psd front back view,https://www.freepik.com/fp-020,PSD,891,58.40
FP-021,arrow-icons-set,arrow direction icons set collection flat minimal design,https://www.freepik.com/fp-021,Vector,0,0
FP-022,wireframe-web-template,wireframe web template design ui layout sketch prototype,https://www.freepik.com/fp-022,Vector,0,0
FP-023,gradient-background-pack,gradient color background pack abstract design collection,https://www.freepik.com/fp-023,Vector,423,22.60
FP-024,infographic-elements-collection,infographic elements collection charts graphs data visualization,https://www.freepik.com/fp-024,Vector,298,16.90
FP-025,book-cover-mockup,book cover mockup template psd hardcover design presentation,https://www.freepik.com/fp-025,PSD,0,0
